Interstate,State,Rest Area,Rest Area Type,Count
29,Iowa,Mile Marker 78 – Missouri Valley,Rest Area (northbound),6
29,Iowa,Mile Marker 38 – Pacific Junction,Rest Area (southbound),7
29,Iowa,Mile Marker 38 – Pacific Junction,Rest Area (northbound),8
29,Missouri,Mile Marker 108 – Rock Port,Welcome Center (southbound),9
29,Missouri,Mile Marker 27 – Dearborn,Rest Area (southbound),10
29,Missouri,Mile Marker 27 – Dearborn,Rest Area (northbound),11
29,North Dakota,Mile Marker 179 – Grafton,Rest Area (southbound),12
29,North Dakota,Mile Marker 179 – Grafton,Rest Area (northbound),13
29,North Dakota,Mile Marker 99 – Hillsboro,Rest Area (southbound),14
29,North Dakota,Mile Marker 99 – Hillsboro,Rest Area (northbound),15
29,North Dakota,Mile Marker 3 – Hankinson,Welcome Center (northbound),16
29,South Dakota,Mile Marker 251 – New Effington,Welcome Center (southbound),17
29,South Dakota,Exit 213 – Summit,Rest Area,18
29,South Dakota,Exit 121 – Brookings,Rest Area,19
29,South Dakota,Exit 26 – Vermillion,Welcome Center,20
30,Arkansas,Mile Marker 93 – Social Hill,Rest Area (westbound),0
30,Arkansas,Mile Marker 93 – Social Hill,Rest Area (eastbound),1
30,Arkansas,Mile Marker 56 – Gurdon,Rest Area (westbound),2
30,Arkansas,Mile Marker 56 – Gurdon,Rest Area (eastbound),3
30,Arkansas,Mile Marker 7 – Texarkana,Welcome Center (eastbound),4
30,Texas,Mile Marker 223 – Texarkana,Welcome Center (westbound),5
30,Texas,Mile Marker 143 – Mount Vernon,Rest Area (westbound),6
30,Texas,Mile Marker 143 – Mount Vernon,Rest Area (eastbound),7
30,Texas,Mile Marker 111 – Cumby,Rest Area (westbound),8
30,Texas,Mile Marker 111 – Cumby,Rest Area (eastbound),9
35,Iowa,Exit 214 – Northwood,Welcome Center,0
35,Iowa,Exit 159 – Dows,Rest Area,1
35,Iowa,Mile Marker 120 – Story City,Rest Area (northbound),2
35,Iowa,Mile Marker 119 – Story City,Rest Area (southbound),3
35,Iowa,Mile Marker 100 – Cambridge,Rest Area (southbound),4
35,Iowa,Mile Marker 100 – Cambridge,Rest Area (northbound),5
35,Iowa,Mile Marker 33 – Osceola,Rest Area (southbound),6
35,Iowa,Mile Marker 33 – Osceola,Rest Area (northbound),7
35,Iowa,Mile Marker 7 – Lamoni,Welcome Center (southbound),8
35,Iowa,Mile Marker 7 – Lamoni,Welcome Center (northbound),9
35,Iowa,Exit 4 – Lamoni,Welcome Center,10
35,Kansas,Mile Marker 175 – Williamsburg,Rest Area (southbound),11
35,Kansas,Mile Marker 175 – Williamsburg,Rest Area (northbound),12
35,Minnesota,Exit 249 – Duluth,Welcome Center,13
35,Minnesota,Mile Marker 208 – Willow River,Rest Area (southbound),14
35,Minnesota,Mile Marker 198 – Sandstone,Rest Area (northbound),15
35,Minnesota,Mile Marker 154 – Harris,Rest Area (northbound),16
35,Minnesota,Mile Marker 131 – Forest Lake,Rest Area (southbound),17
35,Minnesota,Mile Marker 75 – Elko,Rest Area (southbound),18
35,Minnesota,Mile Marker 68 – Faribault,Rest Area (northbound),19
35,Minnesota,Mile Marker 35 – Owatonna,Rest Area (southbound),20
35,Minnesota,Mile Marker 35 – Owatonna,Rest Area (northbound),21
35,Minnesota,Mile Marker 1 – Albert Lea,Welcome Center (northbound),22
35,Missouri,Mile Marker 81 – Coffey,Rest Area (southbound),23
35,Missouri,Mile Marker 81 – Coffey,Rest Area (northbound),24
35,Missouri,Mile Marker 35 – Holt,Rest Area (southbound),25
35,Missouri,Mile Marker 34 – Holt,Rest Area (northbound),26
35,Oklahoma,Mile Marker 225 – Blackwell,Welcome Center (southbound),27
35,Oklahoma,Mile Marker 225 – Blackwell,Rest Area (northbound),28
35,Oklahoma,Mile Marker 59 – Davis,Rest Area (southbound),29
35,Oklahoma,Mile Marker 59 – Davis,Rest Area (northbound),30
35,Oklahoma,Mile Marker 3 – Thackerville,Welcome Center (northbound),31
35,Texas,Mile Marker 502 – Gainesville,Welcome Center (southbound),32
35,Texas,Mile Marker 362 – Hillsboro,Rest Area (southbound),33
35,Texas,Mile Marker 362 – Hillsboro,Rest Area (northbound),34
35,Texas,Mile Marker 282 – Salado,Rest Area (southbound),35
35,Texas,Mile Marker 281 – Salado,Rest Area (northbound),36
35,Texas,Mile Marker 130 – Natalia,Rest Area (southbound),37
35,Texas,Mile Marker 130 – Natalia,Rest Area (northbound),38
35,Texas,Exit 18 – Laredo,Welcome Center,39
40,Arizona,Exit 359 – Lupton,Welcome Center,0
40,Arizona,Mile Marker 235 – Winslow,Rest Area (westbound),1
40,Arizona,Mile Marker 235 – Winslow,Rest Area (eastbound),2
40,Arizona,Mile Marker 23 – Yucca,Rest Area (westbound),3
40,Arizona,Mile Marker 23 – Yucca,Rest Area (eastbound),4
40,Arkansas,Exit 278 – West Memphis,Welcome Center,5
40,Arkansas,Mile Marker 242 – Forrest City,Rest Area (westbound),6
40,Arkansas,Mile Marker 235 – Forrest City,Rest Area (eastbound),7
40,Arkansas,Mile Marker 199 – White River,Rest Area (westbound),8
40,Arkansas,Mile Marker 199 – White River,Rest Area (eastbound),9
40,Arkansas,Mile Marker 72 – Big Piney,Rest Area (westbound),10
40,Arkansas,Mile Marker 67 – Knoxville,Rest Area (eastbound),11
40,Arkansas,Mile Marker 36 – Ozark,Rest Area (westbound),12
40,Arkansas,Mile Marker 35 – Ozark,Rest Area (eastbound),13
40,Arkansas,Mile Marker 2 – Van Buren,Welcome Center (eastbound),14
40,California,Mile Marker 106 – Essex,Rest Area (westbound),15
40,California,Mile Marker 106 – Essex,Rest Area (eastbound),16
40,California,Mile Marker 28 – Newberry Springs,Rest Area (westbound),17
40,California,Mile Marker 28 – Newberry Springs,Rest Area (eastbound),18
40,New Mexico,Mile Marker 373 – Bard,Welcome Center (westbound),19
40,New Mexico,Mile Marker 302 – Newkirk,Rest Area (westbound),20
40,New Mexico,Mile Marker 302 – Newkirk,Rest Area (eastbound),21
40,New Mexico,Mile Marker 252 – Santa Rosa,Rest Area (westbound),22
40,New Mexico,Mile Marker 252 – Santa Rosa,Rest Area (eastbound),23
40,New Mexico,Mile Marker 207 – Moriarty,Rest Area (westbound),24
40,New Mexico,Mile Marker 207 – Moriarty,Rest Area (eastbound),25
40,New Mexico,Exit 102 – Acomita,Rest Area,26
40,New Mexico,Mile Marker 3 – Gallup,Welcome Center (eastbound),27
40,North Carolina,Exit 364 – Warsaw,Rest Area,28
40,North Carolina,Mile Marker 324 – Benson,Rest Area (westbound),29
40,North Carolina,Mile Marker 324 – Benson,Rest Area (eastbound),30
40,North Carolina,Mile Marker 139 – Burlington,Rest Area (westbound),31
40,North Carolina,Mile Marker 139 – Burlington,Rest Area (eastbound),32
40,North Carolina,Mile Marker 177 – Clemmons,Rest Area (westbound),33
40,North Carolina,Mile Marker 177 – Clemmons,Rest Area (eastbound),34
40,North Carolina,Mile Marker 136 – Claremont,Rest Area (westbound),35
40,North Carolina,Mile Marker 136 – Claremont,Rest Area (eastbound),36
40,North Carolina,Mile Marker 82 – Marion,Rest Area (westbound),37
40,North Carolina,Mile Marker 82 – Marion,Rest Area (eastbound),38
40,North Carolina,Mile Marker 10 – Waterville Lake,Rest Area (westbound),39
40,North Carolina,Mile Marker 10 – Waterville Lake,Welcome Center (eastbound),40
40,Oklahoma,Mile Marker 316 – Sallisaw,Rest Area (eastbound),41
40,Oklahoma,Mile Marker 314 – Sallisaw,Welcome Center (westbound),42
40,Oklahoma,Mile Marker 197 – Shawnee,Rest Area (westbound),43
40,Oklahoma,Mile Marker 197 – Shawnee,Rest Area (eastbound),44
40,Oklahoma,Mile Marker 9 – Erick,Welcome Center (eastbound),45
40,Tennessee,Mile Marker 446 – Hartford,Welcome Center (westbound),46
40,Tennessee,Mile Marker 425 – Dandridge,Rest Area (westbound),47
40,Tennessee,Mile Marker 420 – Dandridge,Rest Area (eastbound),48
40,Tennessee,Mile Marker 326 – Crab Orchard,Rest Area (westbound),49
40,Tennessee,Mile Marker 324 – Crab Orchard,Rest Area (eastbound),50
40,Tennessee,Mile Marker 267 – Buffalo Valley,Welcome Center (westbound),51
40,Tennessee,Mile Marker 267 – Buffalo Valley,Welcome Center (eastbound),52
40,Tennessee,Mile Marker 170 – Dickson,Rest Area (westbound),53
40,Tennessee,Mile Marker 170 – Dickson,Rest Area (eastbound),54
40,Tennessee,Mile Marker 131 – Holladay,Rest Area (westbound),55
40,Tennessee,Mile Marker 130 – Holladay,Rest Area (eastbound),56
40,Tennessee,Mile Marker 73 – Jackson,Rest Area (westbound),57
40,Tennessee,Mile Marker 73 – Jackson,Rest Area (eastbound),58
40,Tennessee,Mile Marker 44 – Stanton,Welcome Center (westbound),59
40,Tennessee,Exit 1 – Memphis,Welcome Center,60
40,Texas,Mile Marker 131 – Alanreed,Rest Area (westbound),61
40,Texas,Mile Marker 129 – Alanreed,Rest Area (eastbound),62
40,Texas,Mile Marker 76 – Amarillo,Welcome Center (westbound),63
40,Texas,Mile Marker 76 – Amarillo,Welcome Center (eastbound),64
44,Missouri,Mile Marker 235 – Saint Clair,Rest Area (westbound),0
44,Missouri,Mile Marker 235 – Saint Clair,Rest Area (eastbound),1
44,Missouri,Mile Marker 110 – Conway,Welcome Center (westbound),2
44,Missouri,Mile Marker 110 – Conway,Welcome Center (eastbound),3
44,Missouri,Mile Marker 52 – Mount Vernon,Rest Area (westbound),4
44,Missouri,Mile Marker 52 – Mount Vernon,Rest Area (eastbound),5
44,Missouri,Mile Marker 2 – Joplin,Welcome Center (eastbound),6
44,Oklahoma,Mile Marker 314 – Miami,Welcome Center (westbound),7
44,Texas,Exit 1c – Wichita Falls,Welcome Center,8
45,Texas,Mile Marker 216 – Richland,Rest Area (southbound),0
45,Texas,Mile Marker 216 – Richland,Rest Area (northbound),1
45,Texas,Mile Marker 125 – Huntsville,Rest Area (southbound),2
45,Texas,Mile Marker 124 – Huntsville,Rest Area (northbound),3
55,Arkansas,Mile Marker 68 – Blytheville,Welcome Center (southbound),0
55,Illinois,Mile Marker 194 – Pontiac,Rest Area (southbound),1
